ZIP,CITY,STABBR,INSTNM,SCH_DEG,HIGHDEG,CONTROL,REGION,LOCALE,ADM_RATE,UGDS,TUITFTE,AGE_ENTRY,SECTOR
94085-3922,Sunnyvale,CA,University of East-West Medicine,3,4,3,8,12,NULL,NULL,5244,PrivacySuppressed,Private
91750-4401,La Verne,CA,University of La Verne,3,4,2,8,21,0.4656,5137,14914,26.66510791,Private
92373-0999,Redlands,CA,University of Redlands,3,4,2,8,13,0.7309,3710,17893,24.32155907,Private
92110-2492,San Diego,CA,University of San Diego,3,4,2,8,11,0.4625,5656,27197,20.59210526,Private
94117-1080,San Francisco,CA,University of San Francisco,3,4,2,8,11,0.6005,6745,27427,21.45314824,Private
90089,Los Angeles,CA,University of Southern California,3,4,2,8,11,0.1802,18392,30675,20.55793481,Private
92069,San Marcos,CA,University of St Augustine for Health Sciences,3,4,3,8,21,NULL,NULL,29469,NULL,Private
95211-0197,Stockton,CA,University of the Pacific,3,4,2,8,11,0.549,3802,30355,20.50403769,Private
91770,Rosemead,CA,University of the West,3,4,2,8,21,NULL,116,6881,23.88135593,Private
91304,West Hills,CA,Valley College of Medical Careers,1,1,3,8,11,NULL,94,12779,28.8630137,Private
92626,Costa Mesa,CA,Vanguard University of Southern California,3,4,2,8,12,0.58,1941,15711,23.06969697,Private
93003-0000,Ventura,CA,Ventura Adult and Continuing Education,1,1,1,8,12,NULL,104,2447,32.76470588,Public
93003-3872,Ventura,CA,Ventura College,2,2,1,8,12,NULL,11763,643,23.81066177,Public
92395,Victorville,CA,Victor Valley Beauty College Inc,1,1,3,8,12,NULL,97,9556,23.80821918,Private
92395-5850,Victorville,CA,Victor Valley College,2,2,1,8,12,NULL,9811,394,25.22732558,Public
90015-4001,Los Angeles,CA,Virginia Sewing Machines and School Center,1,1,3,8,11,NULL,106,5869,25.15846995,Private
94526,Danville,CA,W Academy of Salon and Spa,1,1,3,8,21,NULL,40,6142,27.18181818,Private
93906-2830,Salinas,CA,Waynes College of Beauty,1,1,3,8,12,NULL,34,7310,24.46666667,Private
90211,Beverly Hills,CA,West Coast Ultrasound Institute,1,2,3,8,21,NULL,687,23245,28.39905735,Private
91606,North Hollywood,CA,West Coast University-Los Angeles,3,4,3,8,11,0.5357,1395,27473,26.82149363,Private
93210,Coalinga,CA,West Hills College-Coalinga,2,2,1,8,32,NULL,2534,680,23.01822917,Public
93245,Lemoore,CA,West Hills College-Lemoore,2,2,1,8,41,NULL,3719,455,25.37125749,Public
90230-3519,Culver City,CA,West Los Angeles College,1,2,1,8,21,NULL,9292,780,26.19749304,Public
95070-5698,Saratoga,CA,West Valley College,2,2,1,8,21,NULL,7736,1025,25.50842171,Public
92335,Fontana,CA,Westech College,1,1,3,8,21,NULL,456,7342,25.89651163,Private
91766-1854,Pomona,CA,Western University of Health Sciences,3,4,2,8,21,NULL,NULL,41132,NULL,Private
95128-0000,San Jose,CA,WestMed College,1,1,2,8,11,NULL,366,14019,27.22377622,Private
92027,Escondido,CA,Westminster Theological Seminary in California,3,4,2,8,21,NULL,NULL,7888,NULL,Private
93108-1089,Santa Barbara,CA,Westmont College,3,3,2,8,22,0.7936,1297,20556,19.63434343,Private
90010,Los Angeles,CA,Westwood College-Los Angeles,3,4,3,8,11,NULL,1689,14396,29.85803627,Private
90502,Torrance,CA,Westwood College-South Bay,3,3,3,8,11,NULL,441,14821,28.11643836,Private
90601,Whittier,CA,Whittier College,3,4,2,8,21,0.6188,1624,24728,19.82180851,Private
95765-3707,Rocklin,CA,William Jessup University,3,4,2,8,41,0.7581,1131,14330,24.1983871,Private
91510-7846,Burbank,CA,Woodbury University,3,4,2,8,11,NULL,1331,19323,23.11458333,Private
95776,Woodland,CA,Woodland Community College,2,2,1,8,23,NULL,2294,350,26.41659312,Public
90020,Los Angeles,CA,World Mission University,1,4,2,8,11,0.7778,139,5633,48.15909091,Private
94539,Fremont,CA,Wyotech-Fremont,1,2,3,8,21,NULL,805,8433,26.81392931,Private
90810-3800,Long Beach,CA,Wyotech-Long Beach,1,2,3,8,11,NULL,1136,8918,26.6382772,Private
95202-1332,Stockton,CA,Xavier College School of Nursing,1,1,3,8,11,NULL,58,12837,25.8490566,Private
90046,Los Angeles,CA,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,3,3,2,8,11,0.7297,163,10376,18.98969072,Private
90066,Los Angeles,CA,Yo San University of Traditional Chinese Medicine,3,4,2,8,21,NULL,NULL,5587,PrivacySuppressed,Private
95901,Marysville,CA,Yuba College,2,2,1,8,22,NULL,6062,369,25.20215869,Public
80631-9441,Greeley,CO,Academy of Natural Therapy Inc,1,2,3,7,13,NULL,54,17487,28.34210526,Private
81101,Alamosa,CO,Adams State University,3,4,1,7,33,0.6529,2110,6568,22.64187551,Public
80632,Greeley,CO,Aims Community College,1,2,1,7,13,NULL,3683,2981,26.32132624,Public
80014-6510,Aurora,CO,American Sentinel University,3,4,3,7,11,NULL,1701,11313,38.73903509,Private
80160-9002,Littleton,CO,Arapahoe Community College,1,2,1,7,21,NULL,8627,4555,28.11513002,Public
80246,Denver,CO,Aspen University,3,4,3,7,21,NULL,231,5274,32.88757396,Private
80305,Boulder,CO,Auguste Escoffier School of Culinary Arts-Boulder,1,1,3,7,13,NULL,382,16807,27.02890173,Private
80202,Denver,CO,Aveda Institute-Denver,1,1,3,7,11,NULL,440,7665,24.19318182,Private
80247,Denver,CO,Bel-Rea Institute of Animal Technology,2,2,3,7,11,0.8141,489,6473,25.30769231,Private
80002-3754,Arvada,CO,College of International Esthetics Inc,1,1,3,7,21,NULL,86,13896,30.79865772,Private
80222,Denver,CO,CollegeAmerica-Denver,2,3,2,7,11,NULL,407,17746,29.83200908,Private
80906-4944,Colorado Springs,CO,Colorado Academy of Veterinary Technology,2,2,3,7,11,0.9091,72,9623,26.45,Private
80226,Lakewood,CO,Colorado Christian University,3,4,2,7,12,0.9432,3657,13179,32.76190476,Private
80903,Colorado Springs,CO,Colorado College,3,4,2,7,11,0.179,2036,28609,19.56626506,Private
80236-2711,Denver,CO,Colorado Heights University,1,4,2,7,11,NULL,107,5830,34.5578635,Private
81501-3122,Grand Junction,CO,Colorado Mesa University,3,4,1,7,13,0.8227,8413,6676,22.72985671,Public
81601-0233,Glenwood Springs,CO,Colorado Mountain College,1,3,1,7,33,NULL,3558,2145,25.20350877,Public
81648-3598,Rangely,CO,Colorado Northwestern Community College,2,2,1,7,43,NULL,670,5120,25.46743295,Public
80226,Lakewood,CO,Colorado School of Healing Arts,1,2,3,7,12,NULL,171,7868,29.91304348,Private
80401,Golden,CO,Colorado School of Mines,3,4,1,7,21,0.3647,4383,18760,20.88748951,Public
80215-2996,Lakewood,CO,Colorado School of Trades,2,2,3,7,12,NULL,196,11934,29.5631068,Private
80206,Denver,CO,Colorado School of Traditional Chinese Medicine,2,4,3,7,11,NULL,NULL,11910,NULL,Private
80523-0100,Fort Collins,CO,Colorado State University-Fort Collins,3,4,1,7,12,0.8048,22373,12634,21.3716235,Public
80111-0000,Greenwood Village,CO,Colorado State University-Global Campus,3,4,1,7,21,NULL,6506,10021,32.67599915,Public
81001-4901,Pueblo,CO,Colorado State University-Pueblo,3,4,1,7,12,0.9278,4227,4750,23.46480804,Public
80907-3812,Colorado Springs,CO,Colorado Technical University-Colorado Springs,3,4,3,7,11,NULL,1139,16251,33.60340764,Private
80011-9036,Aurora,CO,Community College of Aurora,2,2,1,7,11,NULL,5347,4533,27.81480539,Public
80204-2026,Denver,CO,Community College of Denver,2,2,1,7,11,NULL,7725,3770,26.97632858,Public
80010-4314,Aurora,CO,Concorde Career College-Aurora,1,2,3,7,11,0.572,761,13623,27.59176755,Private
81416,Delta,CO,Delta Montrose Technical College,1,1,1,7,41,NULL,239,2908,28.32994924,Public
80202,Denver,CO,Denver School of Nursing,3,3,3,7,11,NULL,790,17242,29.52160494,Private
80120,Littleton,CO,Denver Seminary,3,4,2,7,21,NULL,NULL,11454,PrivacySuppressed,Private
80203,Denver,CO,Emily Griffith Technical College,1,1,1,7,11,NULL,3612,2256,30.34687954,Public
80916,Colorado Springs,CO,Everest College-Colorado Springs,1,2,3,7,11,NULL,330,10363,27.42120344,Private
80229,Thornton,CO,Everest College-Thornton,1,2,3,7,21,NULL,342,10908,27.74536083,Private
81301-3999,Durango,CO,Fort Lewis College,3,3,1,7,32,0.9082,3609,5828,22.02308136,Public
80031,Westminster,CO,Front Range Community College,1,2,1,7,21,NULL,15551,4561,26.60479042,Public
81601,Glenwood Springs,CO,Glenwood Beauty Academy,1,1,3,7,33,NULL,47,7911,26.34782609,Private
80525,Fort Collins,CO,Hair Dynamics Education Center,1,1,3,7,12,NULL,172,9402,25.16504854,Private
80525-3479,Fort Collins,CO,Healing Arts Institute,1,1,3,7,12,NULL,53,17194,29.14473684,Private
80212,Denver,CO,Heritage College-Denver,1,2,3,7,21,NULL,482,6902,27.37801047,Private
80919,Colorado Springs,CO,IBMC College,2,2,3,7,11,NULL,357,7087,28.82680412,Private
80525,Fort Collins,CO,IBMC College,2,2,3,7,12,NULL,341,7533,27.53993399,Private
80210-4798,Denver,CO,Iliff School of Theology,3,4,2,7,11,NULL,NULL,17895,39.27272727,Private
80027,Louisville,CO,Institute of Taoist Education and Acupuncture,3,4,2,7,23,NULL,NULL,12516,NULL,Private
80909-6096,Colorado Springs,CO,Intellitec College-Colorado Springs,2,2,3,7,11,NULL,828,17722,29.53444444,Private
81506,Grand Junction,CO,Intellitec College-Grand Junction,2,2,3,7,13,NULL,617,7363,27.70740741,Private
80918-3684,Colorado Springs,CO,International Salon and Spa Academy,1,1,3,7,11,NULL,263,6463,27.17759563,Private
80112,Centennial,CO,Jones International University,3,4,3,7,21,NULL,1195,16706,34.90349418,Private
81052-3999,Lamar,CO,Lamar Community College,2,2,1,7,33,NULL,476,3495,23.70982143,Public
80206,Denver,CO,Massage Therapy Institute of Colorado,1,1,3,7,11,NULL,61,7885,29.58333333,Private
80217-3362,Denver,CO,Metropolitan State University of Denver,3,4,1,7,11,0.6511,20583,5712,25.76020129,Public
80501,Longmont,CO,Montage Academy,1,1,3,7,23,NULL,52,9086,27.55421687,Private
80230,Denver,CO,Montessori Casa International,1,1,2,7,11,NULL,15,8664,PrivacySuppressed,Private
80301,Boulder,CO,Montessori Education Center of the Rockies,1,1,2,7,13,1,14,7602,32.61904762,Private
80701,Fort  Morgan,CO,Morgan Community College,1,2,1,7,33,NULL,800,3757,28.04869565,Public
80302-6697,Boulder,CO,Naropa University,3,4,2,7,13,0.7006,434,22064,24.50632911,Private
80221,Denver,CO,National Beauty College,1,1,3,7,21,NULL,51,11411,34.76190476,Private
80401-3304,Lakewood,CO,National Personal Training Institute of Colorado,1,1,3,7,12,NULL,97,8854,29.61594203,Private
80910-3704,Colorado Springs,CO,Nazarene Bible College,3,3,2,7,11,NULL,758,10171,35.66666667,Private
80138-9801,Parker,CO,New Dimensions Beauty Academy Inc,1,1,3,7,21,NULL,57,11031,26.98461539,Private
80751-2944,Sterling,CO,Northeastern Junior College,2,2,1,7,33,NULL,1317,3792,22.53596059,Public
81050,La Junta,CO,Otero Junior College,1,2,1,7,33,NULL,962,2731,26.96248535,Public
80903,Colorado Springs,CO,Paul Mitchell the School-Colorado Springs,1,1,3,7,11,NULL,241,7878,24.830721,Private
80226,Lakewood,CO,Paul Mitchell the School-Denver,NULL,1,3,7,12,NULL,171,6934,23.6373057,Private
80011-9307,Aurora,CO,Pickens Technical College,1,1,1,7,11,NULL,1084,1726,29.45544555,Public
80906-5498,Colorado Springs,CO,Pikes Peak Community College,2,2,1,7,21,NULL,11748,3942,27.31415445,Public
80012-0000,Aurora,CO,Pima Medical Institute-Aurora,1,2,3,7,11,NULL,315,4070,25.89307229,Private
80014-3141,Aurora,CO,Platt College-Aurora,3,3,3,7,11,0.5,209,14077,27.53435115,Private
81004-1499,Pueblo,CO,Pueblo Community College,1,2,1,7,12,NULL,4790,2614,27.65719017,Public
80228-1255,Lakewood,CO,Red Rocks Community College,1,2,1,7,12,NULL,7745,4636,27.8333725,Public
80021-3465,Broomfield,CO,Redstone College,2,2,3,7,13,NULL,552,12664,27.35552194,Private
80221-1099,Denver,CO,Regis University,3,4,2,7,11,0.9604,4914,14235,29.35832155,Private
80214,Lakewood,CO,Rocky Mountain College of Art and Design,3,4,3,7,12,NULL,1013,17017,27.2909261,Private
80134,Parker,CO,Rocky Vista University,NULL,4,3,7,21,NULL,NULL,43610,NULL,Private
80301-0000,Boulder,CO,Rolf Institute of Structural Integration,1,1,2,7,13,NULL,61,28924,35.07317073,Private
80246,Denver,CO,Taft University System,3,4,3,7,21,NULL,0,5806,43.4,Private
80203-2983,Denver,CO,The Art Institute of Colorado,3,3,3,7,11,NULL,1414,14763,25.50422902,Private
80918,Colorado Springs,CO,The Salon Professional Academy-Colorado Springs,1,1,3,7,11,NULL,56,7093,23.48387097,Private
81501,Grand Junction,CO,The Salon Professional Academy-Grand Junction,1,1,3,7,13,NULL,75,7912,23.232,Private
80918,Colorado Springs,CO,Toni & Guy Hairdressing Academy-Colorado Springs,1,1,3,7,11,NULL,172,14812,24.24773414,Private
81082,Trinidad,CO,Trinidad State Junior College,1,2,1,7,33,NULL,1183,2885,25.55952381,Public
80223-2936,Denver,CO,United Beauty College,1,1,3,7,11,NULL,91,4045,31.58333333,Private
80309-0017,Boulder,CO,University of Colorado Boulder,3,4,1,7,13,0.8416,25873,17532,20.65182186,Public
80918,Colorado Springs,CO,University of Colorado Colorado Springs,3,4,1,7,11,0.924,9310,10048,23.56415479,Public
80217-3364,Denver,CO,University of Colorado Denver/Anschutz Medical Campus,3,4,1,7,11,0.7299,10786,13347,24.42123215,Public
80208,Denver,CO,University of Denver,3,4,2,7,11,0.7649,5629,26394,20.69390321,Private
80639,Greeley,CO,University of Northern Colorado,3,4,1,7,13,0.7088,9104,9425,21.75783133,Public
80202-1787,Denver,CO,University of the Rockies,3,4,3,7,11,NULL,NULL,18730,PrivacySuppressed,Private
81231,Gunnison,CO,Western State Colorado University,3,4,1,7,33,0.9741,1936,7976,21.0129717,Public
80221,Denver,CO,Westwood College-Denver North,3,3,3,7,21,NULL,342,13845,26.46876513,Private
80014,Aurora,CO,Xenon International Academy-Denver,1,1,3,7,11,NULL,62,11629,24.74285714,Private
6492,Wallingford,CT,Academy Di Capelli-School of Cosmetology,1,1,3,1,21,NULL,27,12276,26.61151079,Private
6716,Wolcott,CT,Ace Cosmetology and Barber Training Center,NULL,1,3,1,22,NULL,14,6092,29.79411765,Private
6106,Hartford,CT,Albert I Prince Technical High School,1,1,1,1,12,NULL,56,3144,31.51724138,Public
06511-1189,New Haven,CT,Albertus Magnus College,3,4,2,1,12,NULL,1249,12659,28.31055901,Private
06110-1922,West Hartford,CT,American Institute-West Hartford,1,1,3,1,13,NULL,419,9884,28.00192493,Private
6082,Enfield,CT,Asnuntuck Community College,1,2,1,1,21,NULL,1316,3603,26.22819594,Public
06704-1035,Waterbury,CT,Belle Academy of Cosmetology,NULL,1,3,1,22,NULL,14,5846,23.66666667,Private
6405,Branford,CT,Branford Academy of Hair and Cosmetology,1,1,3,1,21,NULL,42,7383,29.51428571,Private
6405,Branford,CT,Branford Hall Career Institute-Branford Campus,1,1,3,1,21,NULL,493,11519,29.42500966,Private
6610,Bridgeport,CT,Bridgeport Hospital School of Nursing,1,1,2,1,12,NULL,189,NULL,30.89772727,Private
6010,Bristol,CT,Bristol Technical Education Center,1,1,1,1,21,NULL,51,4169,25.56756757,Public
6610,Bridgeport,CT,Bullard-Havens Technical High School,2,1,1,1,12,NULL,15,8526,32.18181818,Public
6103,Hartford,CT,Capital Community College,2,2,1,1,12,NULL,3572,1863,27.08630705,Public
6050,New Britain,CT,Central Connecticut State University,3,4,1,1,21,0.6044,9600,7796,22.28131116,Public
6053,New Britain,CT,Charter Oak State College,3,3,1,1,21,NULL,1799,7955,35.96049661,Public
06111-3975,Newington,CT,Connecticut Center for Massage Therapy-Newington,1,1,3,1,21,NULL,279,6871,31.63870968,Private
06320-4196,New London,CT,Connecticut College,3,4,2,1,13,0.376,1875,28347,19.51287554,Private
6716,Wolcott,CT,Connecticut Institute of Hair Design,1,1,3,1,22,NULL,24,5626,28.78125,Private
6226,Willimantic,CT,Eastern Connecticut State University,3,4,1,1,31,0.631,4793,6709,21.11017326,Public
6514,Hamden,CT,Eli Whitney Technical High School,1,1,1,1,21,NULL,42,7113,31.27272727,Public
06437-2319,Guilford,CT,European Academy of Cosmetology and Hairdressing,1,1,3,1,21,NULL,12,9676,22.5,Private
06824-5195,Fairfield,CT,Fairfield University,3,4,2,1,21,0.7153,3841,24805,19.91469194,Private
6510,New Haven,CT,Gateway Community College,2,2,1,1,12,NULL,7127,2679,25.66842588,Public
6118,East Hartford,CT,Goodwin College,2,3,2,1,13,NULL,3291,15929,29.55058824,Private
06105-2260,Hartford,CT,Hartford Seminary,3,4,2,1,12,NULL,NULL,13038,NULL,Private
06416-2005,Cromwell,CT,Holy Apostles College and Seminary,3,4,2,1,21,NULL,58,10494,28.2,Private
06604-4704,Bridgeport,CT,Housatonic Community College,2,2,1,1,12,NULL,4908,2404,25.08929863,Public
6114,Hartford,CT,Howell Cheney THS/CT Aero Tech School,1,1,1,1,12,NULL,52,1249,24,Public
6706,Waterbury,CT,Industrial Management Training Institute,1,1,3,1,22,NULL,140,15783,28.25899281,Private
6109,Wethersfield,CT,International Institute of Cosmetology,1,1,3,1,21,NULL,147,8098,23.15436242,Private
06489-1057,Southington,CT,Lincoln College of New England-Southington,2,3,3,1,21,NULL,713,20794,25.14852941,Private
6105,Hartford,CT,Lincoln Technical Institute-Hartford,1,1,3,1,12,NULL,450,31573,25.19141324,Private
6051,New Britain,CT,Lincoln Technical Institute-New Britain,1,1,3,1,21,NULL,459,16965,25.126537,Private
6371,Old Lyme,CT,Lyme Academy College of Fine Arts,3,3,2,1,22,NULL,0,20995,22.47058824,Private
6040,Manchester,CT,Manchester Community College,2,2,1,1,21,NULL,6564,3153,24.44361137,Public
6108,East Hartford,CT,Marinello Schools of Beauty-East Hartford,1,1,3,1,13,NULL,203,7150,26.03266332,Private
6450,Meriden,CT,Marinello Schools of Beauty-Meriden,1,1,3,1,21,NULL,390,8106,27.61690885,Private
6357,Niantic,CT,Marinello Schools of Beauty-Niantic,1,1,3,1,22,NULL,260,8572,25.64343164,Private
06457-4829,Middletown,CT,Middlesex Community College,2,2,1,1,13,NULL,2534,3095,26.00363372,Public
6320,New London,CT,Mitchell College,3,3,2,1,13,0.7004,710,14981,21.34243176,Private
06708-3089,Waterbury,CT,Naugatuck Valley Community College,2,2,1,1,22,NULL,6443,3009,24.74229527,Public
6071,Somers,CT,New England Tractor Trailer Training School of Connecticut,1,1,3,1,21,NULL,310,32490,33.04653061,Private
6098,Winsted,CT,Northwestern Connecticut Community College,2,2,1,1,31,NULL,1206,2983,25.63247863,Public
6854,Norwalk,CT,Norwalk Community College,2,2,1,1,13,NULL,5028,3683,24.26086957,Public
06360-2425,Norwich,CT,Norwich Technical High School/Adult Licensed Practical Nurse Program,1,1,1,1,13,NULL,39,4928,30.96875,Public
6483,Seymour,CT,Oxford Academy of Hair Design Inc,1,1,3,1,21,NULL,95,8432,24,Private
06514-3902,Hamden,CT,Paier College of Art Inc,3,3,3,1,21,NULL,112,13083,23.53571429,Private
6810,Danbury,CT,Paul Mitchell the School-Danbury,1,1,3,1,13,NULL,137,10483,22.80434783,Private
6473,North Haven,CT,Paul Mitchell the School-North Haven,1,1,3,1,21,NULL,175,12159,22.58602151,Private
6461,Milford,CT,Platt Technical High School,1,1,1,1,13,NULL,20,2020,30,Public
6405,Branford,CT,Porter and Chester Institute of Branford,1,1,3,1,21,NULL,286,18623,26.91952055,Private
06615-7158,Stratford,CT,Porter and Chester Institute of Stratford,1,1,3,1,13,NULL,2378,18476,26.63590469,Private
6723,Waterbury,CT,Post University,3,4,3,1,22,0.8707,6594,11859,31.78439197,Private
06239-1436,Danielson,CT,Quinebaug Valley Community College,2,2,1,1,21,NULL,1729,2407,25.69022265,Public
6518,Hamden,CT,Quinnipiac University,3,4,2,1,21,0.6591,6503,27462,19.86213518,Private
06470-0000,Newtown,CT,Ricci's Academy of Cosmetology,NULL,1,3,1,22,NULL,89,10372,24.90322581,Private
6320,New London,CT,Ridley-Lowell Business & Technical Institute-New London,1,1,3,1,13,NULL,255,11544,29.30411585,Private
06825-1000,Fairfield,CT,Sacred Heart University,3,4,2,1,21,0.5715,4904,19851,21.06389239,Private
06515-1355,New Haven,CT,Southern Connecticut State University,3,4,1,1,12,0.7154,8133,8750,21.63987392,Public
06606-4201,Bridgeport,CT,St Vincent's College,2,3,2,1,12,0.3846,737,14381,28.44913151,Private
6516,West Haven,CT,Stone Academy-Hamden,1,1,3,1,21,NULL,436,8151,28.1468278,Private
6360,Norwich,CT,Three Rivers Community College,2,2,1,1,13,NULL,4161,2609,25.58817967,Public
06106-3100,Hartford,CT,Trinity College,3,4,2,1,12,0.3304,2262,30787,20.50314465,Private
06032-3187,Farmington,CT,Tunxis Community College,2,2,1,1,21,NULL,3546,3586,23.95210218,Public
06604-5620,Bridgeport,CT,University of Bridgeport,3,4,2,1,12,0.6072,3021,16453,24.55452972,Private
6269,Storrs,CT,University of Connecticut,3,4,1,1,21,0.4996,18016,11680,20.4366462,Public
06117-1599,West Hartford,CT,University of Hartford,3,4,2,1,12,0.7213,4956,16393,20.64578313,Private
06516-1916,West Haven,CT,University of New Haven,3,4,2,1,21,0.8086,4974,18751,20.50673401,Private
6117,West Hartford,CT,University of Saint Joseph,3,4,2,1,13,0.7997,930,18255,23.35318275,Private
6457,Middletown,CT,Vinal Technical High School,1,1,1,1,13,NULL,27,5486,31.52,Public
6708,Waterbury,CT,W F Kaynor Technical High School,1,1,1,1,22,0.75,38,5784,33.36363636,Public
6459,Middletown,CT,Wesleyan University,3,4,2,1,13,0.2391,2907,29384,19.58132045,Private
06810-6826,Danbury,CT,Western Connecticut State University,3,4,1,1,13,0.4003,5206,7369,21.51054284,Public
06226-2040,Willimantic,CT,Windham Memorial Hospital-Radiologic Technology Program,1,1,2,1,31,NULL,17,6833,26.07692308,Private
6226,Willimantic,CT,Windham Technical High School,1,1,1,1,31,NULL,16,2562,24.6,Public
6520,New Haven,CT,Yale University,3,4,2,1,12,0.063,5473,15008,19.55520505,Private
6510,New Haven,CT,Yale-New Haven Hospital Dietetic Internship,NULL,0,2,1,12,NULL,NULL,3128,NULL,Private
20016-8001,Washington,DC,American University,3,4,2,2,11,0.4584,7094,30440,19.75347506,Private
20017,Washington,DC,Bennett Career Institute,1,1,3,2,11,NULL,311,1865,27.42898551,Private
20005,Washington,DC,Career Technical Institute,1,1,3,2,11,NULL,607,7241,31.99900794,Private
20064,Washington,DC,Catholic University of America,3,4,2,2,11,0.7391,3529,22765,20.8074191,Private
20002-3695,Washington,DC,Gallaudet University,3,4,2,2,11,0.6532,1001,12269,22.76036866,Private
20052,Washington,DC,George Washington University,3,4,2,2,11,0.4379,10433,28464,20.92079208,Private
20057-0001,Washington,DC,Georgetown University,3,4,2,2,11,0.1735,7211,34183,20.41473988,Private
20024,Washington,DC,Graduate School USA,NULL,2,2,2,11,NULL,22,1292154,PrivacySuppressed,Private
20059-0001,Washington,DC,Howard University,3,4,2,2,11,0.4841,6961,17361,20.62689394,Private
20036,Washington,DC,Institute of World Politics,3,4,2,2,11,NULL,NULL,23302,NULL,Private
20007,Washington,DC,National Conservatory of Dramatic Arts,1,1,2,2,11,1,39,7985,27,Private
20017-1585,Washington,DC,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,NULL,4,2,2,11,NULL,NULL,9331,NULL,Private
20064,Washington,DC,Pontifical John Paul II Institute for Studies on Marriage and Family,NULL,4,2,2,11,NULL,NULL,10307,NULL,Private
20005-3542,Washington,DC,Radians College,2,2,3,2,11,NULL,215,7838,34.51683938,Private
20005,Washington,DC,Strayer University-District of Columbia,3,4,3,2,11,NULL,774,17247,32.88876014,Private
20005,Washington,DC,Strayer University-Global Region,3,4,3,2,11,NULL,2738,7350,32.88876014,Private
20006-5540,Washington,DC,Technical Learning Centers Inc,1,1,3,2,11,NULL,258,5430,27.16190476,Private
20017-1094,Washington,DC,Trinity Washington University,3,4,2,2,11,0.9085,1665,15381,24.29863813,Private
20008,Washington,DC,University of the District of Columbia,3,4,1,2,11,NULL,4253,7812,26.86736475,Public
20005,Washington,DC,University of the Potomac-Washington DC Campus,3,4,3,2,11,NULL,253,6271,33.52409639,Private
20016-5690,Washington,DC,Wesley Theological Seminary,3,4,2,2,11,NULL,NULL,7414,PrivacySuppressed,Private
19701,Bear,DE,Academy of Massage and Bodywork,1,1,3,2,21,NULL,48,11813,32.56043956,Private
19805-1511,Wilmington,DE,Dawn Career Institute Inc,1,1,3,2,21,NULL,226,5742,29.30238095,Private
19801-3007,Wilmington,DE,Delaware College of Art and Design,2,2,2,2,13,0.4848,185,14913,19.86666667,Private
19939,Dagsboro,DE,Delaware Learning Institute of Cosmetology,1,1,3,2,32,NULL,70,9088,25.45263158,Private
19901,Dover,DE,Delaware State University,3,4,1,2,13,0.4374,3654,6032,20.38352941,Public
19947,Georgetown,DE,Delaware Technical Community College-Owens,2,2,1,2,31,NULL,3854,4698,25.20315399,Public
19801,Wilmington,DE,Delaware Technical Community College-Stanton/Wilmington,2,2,1,2,13,NULL,6081,4198,25.48365617,Public
19901,Dover,DE,Delaware Technical Community College-Terry,2,2,1,2,13,NULL,2740,4334,25.68157961,Public
19808,Wilmington,DE,Goldey-Beacom College,3,4,2,2,21,0.5095,629,14321,22.80546075,Private
19803,Wilmington,DE,Harris School of Business-Wilmington Campus,1,1,3,2,21,NULL,387,16163,28.07665505,Private
19958,Lewes,DE,Margaret H Rollins School of Nursing at Beebe Medical Center,1,1,2,2,32,NULL,42,5497,29.27586207,Private
19702,Newark,DE,Paul Mitchell the School-Delaware,1,1,3,2,21,NULL,140,8845,23.66666667,Private
19711,Newark,DE,Schilling-Douglas School of Hair Design LLC,1,1,3,2,21,NULL,136,2433,23.63190184,Private
19716,Newark,DE,University of Delaware,3,4,1,2,21,0.6783,18222,17838,19.69909849,Public
19901-3875,Dover,DE,Wesley College,3,4,2,2,13,0.567,1431,14441,20.44085028,Private
19720,New Castle,DE,Wilmington University,3,4,2,2,21,NULL,8671,8049,28.79636192,Private
32601,Gainesville,FL,Academy for Five Element Acupuncture,NULL,4,2,5,12,NULL,NULL,9810,NULL,Private
33417,West Palm Beach,FL,Academy for Nursing and Health Occupations,2,2,2,5,21,NULL,424,5770,31.63304348,Private
34741,Kissimmee,FL,Academy of Career Training,1,1,3,5,13,NULL,147,8413,28.59907834,Private
32953,Merritt Island,FL,Academy of Cosmetology,1,1,3,5,21,NULL,137,6418,28.26126126,Private
33463-2113,Lake Worth,FL,Academy of Palm Beach,1,1,3,5,21,NULL,66,6742,34.45744681,Private
33176,Miami,FL,Acupuncture and Massage College,1,4,3,5,13,NULL,37,6795,33.67307692,Private
33012,Hialeah,FL,Advance Science Institute,1,1,3,5,21,NULL,34,1067,32.98039216,Private
33122,Miami,FL,Advanced Technical Centers,1,1,2,5,21,NULL,31,0,59.29411765,Private
32803,Orlando,FL,Adventist University of Health Sciences,3,4,2,5,12,1,1870,12392,27.31381216,Private
32773,Sanford,FL,Aerosim Flight Academy,1,1,3,5,13,NULL,135,19217,23.46296296,Private
33132-1418,Miami,FL,AI Miami International University of Art and Design,3,4,3,5,11,NULL,2778,15302,24.51293314,Private
32935-8771,Melbourne,FL,Ambiance Beauty & Barber Academy Inc,1,1,3,5,13,NULL,39,8948,32.21428571,Private
32065,Orange Park,FL,American Academy of Cosmetology,1,1,3,5,21,NULL,117,7723,29.64673913,Private
